iter	Passed	Remaining
0	155	62110
1	172	34354
2	190	25248
3	208	20629
4	225	17806
5	242	15901
6	259	14584
7	277	13586
8	294	12780
9	312	12169
10	329	11666
11	349	11287
12	365	10872
13	381	10523
14	399	10266
15	416	10001
16	434	9783
17	451	9574
18	467	9379
19	485	9224
20	504	9102
21	522	8969
22	539	8839
23	557	8731
24	575	8629
25	592	8526
26	611	8447
27	629	8359
28	647	8283
29	666	8218
30	684	8143
31	702	8077
32	721	8019
33	740	7975
34	758	7908
35	775	7842
36	792	7776
37	810	7720
38	828	7666
39	845	7611
40	863	7556
41	882	7519
42	898	7463
43	916	7418
44	934	7374
45	952	7327
46	970	7287
47	989	7254
48	1008	7221
49	1027	7191
50	1045	7151
51	1062	7109
52	1080	7075
53	1099	7044
54	1116	7005
55	1134	6971
56	1153	6939
57	1170	6904
58	1189	6874
59	1208	6849
60	1227	6822
61	1246	6795
62	1265	6768
63	1283	6738
64	1300	6704
65	1319	6677
66	1337	6645
67	1354	6613
68	1373	6586
69	1392	6564
70	1410	6534
71	1427	6504
72	1444	6470
73	1462	6441
74	1480	6415
75	1499	6391
76	1517	6364
77	1535	6336
78	1553	6312
79	1572	6291
80	1590	6265
81	1610	6244
82	1629	6222
83	1647	6198
84	1665	6171
85	1683	6148
86	1701	6119
87	1719	6097
88	1737	6070
89	1756	6049
90	1774	6025
91	1793	6003
92	1811	5980
93	1830	5957
94	1847	5930
95	1865	5906
96	1882	5879
97	1899	5854
98	1919	5834
99	1937	5813
100	1956	5793
101	1974	5770
102	1993	5747
103	2012	5727
104	2030	5705
105	2049	5683
106	2067	5660
107	2083	5634
108	2101	5611
109	2120	5589
110	2137	5565
111	2154	5541
112	2172	5517
113	2190	5495
114	2208	5472
115	2226	5450
116	2242	5424
117	2259	5399
118	2276	5376
119	2293	5352
120	2310	5327
121	2329	5308
122	2348	5288
123	2366	5266
124	2383	5242
125	2400	5220
126	2418	5198
127	2436	5178
128	2453	5155
129	2472	5135
130	2489	5111
131	2507	5090
132	2524	5068
133	2540	5042
134	2557	5020
135	2575	4999
136	2593	4977
137	2613	4961
138	2631	4940
139	2649	4919
140	2669	4902
141	2686	4880
